optIter	freq	dB(S(1,1))[0, ::]
51	8.55000000000000071E8	-1.86747347572897771E0
51	8.55999999999999872E8	-1.88384542398756349E0
51	8.57000000000000028E8	-1.90048389583364274E0
51	8.58000000000000007E8	-1.91739456020235810E0
51	8.58999999999999986E8	-1.93458323512702934E0
51	8.59999999999999964E8	-1.95205589243205546E0
51	8.60999999999999943E8	-1.96981866243276871E0
51	8.62000000000000099E8	-1.98787783896323944E0
51	8.62999999999999901E8	-2.00623988457364533E0
51	8.64000000000000057E8	-2.02491143575995647E0
51	8.65000000000000036E8	-2.04389930856336743E0
51	8.66000000000000014E8	-2.06321050432500863E0
51	8.66999999999999993E8	-2.08285221559792344E0
51	8.67999999999999972E8	-2.10283183232173343E0
51	8.69000000000000128E8	-2.12315694824962353E0
51	8.69999999999999929E8	-2.14383536754975168E0
51	8.70999999999999908E8	-2.16487511175015257E0
51	8.72000000000000064E8	-2.18628442684488844E0
51	8.73000000000000043E8	-2.20807179070820681E0
51	8.74000000000000021E8	-2.23024592084050610E0
51	8.75000000000000000E8	-2.25281578238666702E0
51	8.75999999999999979E8	-2.27579059643173398E0
51	8.76999999999999957E8	-2.29917984858789382E0
51	8.77999999999999936E8	-2.32299329805506138E0
51	8.79000000000000092E8	-2.34724098694320826E0
51	8.80000000000000071E8	-2.37193324989525989E0
51	8.80999999999999872E8	-2.39708072433832786E0
51	8.82000000000000028E8	-2.42269436078111955E0
51	8.83000000000000007E8	-2.44878543390143255E0
51	8.83999999999999986E8	-2.47536555382301637E0
51	8.84999999999999964E8	-2.50244667797353548E0
51	8.85999999999999943E8	-2.53004112339765097E0
51	8.87000000000000099E8	-2.55816157958692125E0
51	8.87999999999999901E8	-2.58682112187001811E0
51	8.89000000000000057E8	-2.61603322529959481E0
51	8.90000000000000036E8	-2.64581177917224242E0
51	8.91000000000000014E8	-2.67617110223587940E0
51	8.91999999999999993E8	-2.70712595837218828E0
51	8.92999999999999972E8	-2.73869157319504009E0
51	8.94000000000000128E8	-2.77088365113834190E0
51	8.94999999999999929E8	-2.80371839339765350E0
51	8.95999999999999908E8	-2.83721251681840236E0
51	8.97000000000000064E8	-2.87138327333818877E0
51	8.98000000000000043E8	-2.90624847047732882E0
