freq	stab_fact(S)
2.20000000000000018E8	9.84870409275528225E-1
2.20999999999999996E8	9.85069184712149593E-1
2.21999999999999975E8	9.85265307230286069E-1
2.22999999999999998E8	9.85458820996156604E-1
2.23999999999999977E8	9.85649769260685993E-1
2.25000000000000000E8	9.85838194387943290E-1
2.26000000000000023E8	9.86024137871997475E-1
2.27000000000000002E8	9.86207640361363858E-1
2.28000000000000025E8	9.86388741677344427E-1
2.29000000000000004E8	9.86567480833875621E-1
2.29999999999999982E8	9.86743896058437642E-1
2.31000000000000005E8	9.86918024809632399E-1
2.31999999999999984E8	9.87089903794172585E-1
2.33000000000000007E8	9.87259568988039860E-1
2.33999999999999986E8	9.87427055650046270E-1
2.35000000000000009E8	9.87592398340829014E-1
2.36000000000000032E8	9.87755630939976648E-1
2.37000000000000011E8	9.87916786659212498E-1
2.37999999999999989E8	9.88075898058846747E-1
2.38999999999999968E8	9.88232997065166785E-1
2.39999999999999991E8	9.88388114981429489E-1
2.41000000000000014E8	9.88541282505912555E-1
2.41999999999999993E8	9.88692529742040271E-1
2.43000000000000016E8	9.88841886213577759E-1
2.43999999999999995E8	9.88989380881788804E-1
2.45000000000000018E8	9.89135042148975074E-1
2.45999999999999996E8	9.89278897880459240E-1
2.46999999999999975E8	9.89420975410869552E-1
2.47999999999999998E8	9.89561301560135220E-1
2.48999999999999977E8	9.89699902640030871E-1
2.50000000000000000E8	9.89836804469713627E-1
2.51000000000000023E8	9.89972032385847989E-1
2.52000000000000002E8	9.90105611251650508E-1
2.53000000000000025E8	9.90237565470054548E-1
2.54000000000000004E8	9.90367918989555562E-1
2.54999999999999982E8	9.90496695318612552E-1
2.56000000000000005E8	9.90623917533275211E-1
2.56999999999999984E8	9.90749608286636096E-1
2.58000000000000007E8	9.90873789816767037E-1
2.58999999999999986E8	9.90996483959884067E-1
2.60000000000000009E8	9.91117712154001396E-1
2.61000000000000032E8	9.91237495449568407E-1
2.62000000000000011E8	9.91355854520108082E-1
2.62999999999999989E8	9.91472809665251020E-1
2.63999999999999968E8	9.91588380823087689E-1
2.64999999999999991E8	9.91702587575961658E-1
2.66000000000000014E8	9.91815449157989981E-1
2.66999999999999993E8	9.91926984462548056E-1
2.68000000000000016E8	9.92037212049999440E-1
2.68999999999999995E8	9.92146150154532513E-1
2.70000000000000018E8	9.92253816689146539E-1
2.70999999999999996E8	9.92360229254147619E-1
2.71999999999999975E8	9.92465405144539936E-1
2.72999999999999998E8	9.92569361355186253E-1
2.73999999999999977E8	9.92672114584570942E-1
2.75000000000000000E8	9.92773681245360073E-1
2.76000000000000023E8	9.92874077467223515E-1
2.77000000000000002E8	9.92973319103573004E-1
2.78000000000000025E8	9.93071421737941762E-1
2.79000000000000004E8	9.93168400686487374E-1
2.79999999999999982E8	9.93264271007697985E-1
2.81000000000000005E8	9.93359047503935244E-1
2.81999999999999984E8	9.93452744728381809E-1
2.83000000000000007E8	9.93545376990448226E-1
2.83999999999999986E8	9.93636958358976941E-1
2.85000000000000009E8	9.93727502668726892E-1
2.86000000000000032E8	9.93817023522403353E-1
2.87000000000000011E8	9.93905534300036564E-1
2.87999999999999989E8	9.93993048157037506E-1
2.88999999999999968E8	9.94079578034516587E-1
2.89999999999999991E8	9.94165136659540494E-1
2.91000000000000014E8	9.94249736551411978E-1
2.91999999999999993E8	9.94333390023921204E-1
2.93000000000000016E8	9.94416109191618780E-1
2.93999999999999995E8	9.94497905971575946E-1
2.95000000000000018E8	9.94578792089307662E-1
2.95999999999999996E8	9.94658779080150168E-1
2.96999999999999975E8	9.94737878293508260E-1
2.97999999999999998E8	9.94816100898763089E-1
2.98999999999999977E8	9.94893457883961041E-1
3.00000000000000000E8	9.94969960065654035E-1
3.01000000000000023E8	9.95045618085252492E-1
3.02000000000000002E8	9.95120442417784901E-1
3.03000000000000025E8	9.95194443372247228E-1
3.04000000000000004E8	9.95267631096269945E-1
3.04999999999999982E8	9.95340015576135428E-1
3.06000000000000005E8	9.95411606644496594E-1
3.06999999999999984E8	9.95482413978591474E-1
3.08000000000000007E8	9.95552447107423788E-1
3.08999999999999986E8	9.95621715409779284E-1
3.10000000000000009E8	9.95690228121272547E-1
3.11000000000000032E8	9.95757994334090490E-1
3.12000000000000011E8	9.95825023002688070E-1
3.12999999999999989E8	9.95891322942196844E-1
3.13999999999999968E8	9.95956902833724200E-1
3.14999999999999991E8	9.96021771227232655E-1
3.16000000000000014E8	9.96085936541216732E-1
3.16999999999999993E8	9.96149407068767268E-1
